agency_id,agency_name,agency_url,agency_timezone,agency_lang
AG_1,Městská hromadná doprava (TT Decoded),https://prijimackynaskolu.cz,Europe/Prague,cs
AG_2,České dráhy (TT Decoded),https://prijimackynaskolu.cz,Europe/Prague,cs
AG_3,Meziměstské autobusy (TT Decoded),https://prijimackynaskolu.cz,Europe/Prague,cs
AG_4,Kreiswerke Cham - Mobilitätszentrale,www.landkreis-cham.de,Europe/Prague,cs
AG_5,Pražské Benátky s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_6,Regionalverkehr Sächsische Schweiz-Osterzgebirge GmbH,https://md.gov.cz/,Europe/Prague,cs
AG_7,FlixBus DACH GmbH,http://www.flixbus.cz,Europe/Prague,cs
AG_8,LLC TRANS NATSIONAL LTD,https://md.gov.cz/,Europe/Prague,cs
AG_9,Centrotrans - Eurolines d.d.,http://www.centrotrans.com,Europe/Prague,cs
AG_10,nabídková trasa,https://md.gov.cz/,Europe/Prague,cs
AG_11,"Dopravní podnik hl.m. Prahy, a.s.",www.dpp.cz,Europe/Prague,cs
AG_12,Obec Ptení,https://md.gov.cz/,Europe/Prague,cs
AG_13,"EKOSERVIS TRANSPEED, a.s.",https://md.gov.cz/,Europe/Prague,cs
AG_14,"Kolej-klub, z.s.",https://md.gov.cz/,Europe/Prague,cs
AG_15,BUDOS - BUS s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_16,UMBRELLA Coach & Buses s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_17,GW BUS a.s.,www.gwbus.cz,Europe/Prague,cs
AG_18,ROMAN BUS s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_19,VisitTeplice s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_20,Transdev Střední Čechy s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_21,BusLine LK s.r.o.,www.busline.cz,Europe/Prague,cs
AG_22,BusLine LK s.r.o.,www.busline.cz,Europe/Prague,cs
AG_23,BusLine LK s.r.o.,www.busline.cz,Europe/Prague,cs
AG_24,BusLine LK s.r.o.,www.busline.cz,Europe/Prague,cs
AG_25,BusLine KHK s.r.o.,www.busline.cz,Europe/Prague,cs
AG_26,BusLine KHK s.r.o.,www.busline.cz,Europe/Prague,cs
AG_27,BusLine KHK s.r.o.,www.busline.cz,Europe/Prague,cs
AG_28,Holfedtrans s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_29,FlixBus CZ s.r.o.,http://www.flixbus.cz,Europe/Prague,cs
AG_30,BUS LIGNETA a.s.,https://md.gov.cz/,Europe/Prague,cs
AG_31,"Dopravní společnost Ústeckého kraje, příspěvková organizace",https://www.ds-uk.cz/,Europe/Prague,cs
AG_32,Lutan s.r.o.,www.lutan.cz,Europe/Prague,cs
AG_33,POASS Technologies s.r.o.,www.dopravaplus.com,Europe/Prague,cs
AG_34,Michal Pelc,www.ad-pelc.cz,Europe/Prague,cs
AG_35,Leo Express s.r.o. - žadatel,https://md.gov.cz/,Europe/Prague,cs
AG_36,Transdev Morava s.r.o.,morava.transdev.cz,Europe/Prague,cs
AG_37,Transdev Morava s.r.o.,morava.transdev.cz,Europe/Prague,cs
AG_38,Transdev Morava s.r.o.,morava.transdev.cz,Europe/Prague,cs
AG_39,Transdev Morava s.r.o.,morava.transdev.cz,Europe/Prague,cs
AG_40,Autodoprava Daniel Sládek s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_41,RegioJet ÚK a.s.,https://md.gov.cz/,Europe/Prague,cs
AG_42,ČSAD Plzeň s.r.o.,www.plzenskecsad.cz,Europe/Prague,cs
AG_43,BusLine jižní Čechy s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_44,BusLine Pardubicko s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_45,BusLine Pardubicko s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_46,BusLine Pardubicko s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_47,BusLine Pardubicko s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_48,"Gepard Express, SE",https://md.gov.cz/,Europe/Prague,cs
AG_49,Die Länderbahn CZ s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_50,HOLDOS s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_51,UMBRELLA CITY LINES s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_52,BusLine Express s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_53,BusLine Express s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_54,BusLine Express s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_55,BusLine Express s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_56,KAD BUS spol. s r.o.,www.kad.cz,Europe/Prague,cs
AG_57,AD STŘEDNÍ ČECHY s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_58,"MARTIN UHER bus, s.r.o.",https://md.gov.cz/,Europe/Prague,cs
AG_59,Zlatovánek spol. s r.o.,www.zlatovanek.cz,Europe/Prague,cs
AG_60,Transdev Čechy s.r.o.,www.audisbus.cz,Europe/Prague,cs
AG_61,Transdev Čechy s.r.o.,www.audisbus.cz,Europe/Prague,cs
AG_62,Transdev Čechy s.r.o.,www.audisbus.cz,Europe/Prague,cs
AG_63,Transdev Čechy s.r.o.,www.audisbus.cz,Europe/Prague,cs
AG_64,"Městská doprava Teplice, p.o.",www.mdteplice.cz,Europe/Prague,cs
AG_65,ČD Bus a.s.,www.cd.cz,Europe/Prague,cs
AG_66,ČD Bus a.s.,www.cd.cz,Europe/Prague,cs
AG_67,ČD Bus a.s.,www.cd.cz,Europe/Prague,cs
AG_68,Zubačka provoz s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_69,Doprava Teplice s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_70,Railway Capital a.s.,https://md.gov.cz/,Europe/Prague,cs
AG_71,Leo Express Tenders s.r.o.,https://md.gov.cz/,Europe/Prague,cs
