route_id,agency_id,route_short_name,route_long_name,route_type
VL_ROUTE_1,AGENCY_VL,Vlak26C,VL Vlak26C,2
VL_ROUTE_2,AGENCY_VL,Vlak26E,VL Vlak26E,2
VL_ROUTE_3,AGENCY_VL,VlakIDOL26,VL VlakIDOL26,2
VL_ROUTE_4,AGENCY_VL,VlakODIS26,VL VlakODIS26,2
VL_ROUTE_5,AGENCY_VL,VlakPID26,VL VlakPID26,2
BUS_ROUTE_1,AGENCY_BUS,Bus26C,BUS Bus26C,3
BUS_ROUTE_2,AGENCY_BUS,Bus26S,BUS Bus26S,3
MHD_ROUTE_1,AGENCY_MHD,Adamov,MHD Adamov,3
MHD_ROUTE_2,AGENCY_MHD,As,MHD As,3
MHD_ROUTE_3,AGENCY_MHD,Benesov,MHD Benesov,3
MHD_ROUTE_4,AGENCY_MHD,Bilina,MHD Bilina,3
MHD_ROUTE_5,AGENCY_MHD,Blansko,MHD Blansko,3
MHD_ROUTE_6,AGENCY_MHD,Brandys,MHD Brandys,3
MHD_ROUTE_7,AGENCY_MHD,Breclav,MHD Breclav,3
MHD_ROUTE_8,AGENCY_MHD,Bruntal,MHD Bruntal,3
MHD_ROUTE_9,AGENCY_MHD,BystriceNadPernstejnem,MHD BystriceNadPernstejnem,3
MHD_ROUTE_10,AGENCY_MHD,CesBud,MHD CesBud,3
MHD_ROUTE_11,AGENCY_MHD,CesTes,MHD CesTes,3
MHD_ROUTE_12,AGENCY_MHD,CeskaLipa,MHD CeskaLipa,3
MHD_ROUTE_13,AGENCY_MHD,CeskyKrumlov,MHD CeskyKrumlov,3
MHD_ROUTE_14,AGENCY_MHD,Cheb,MHD Cheb,3
MHD_ROUTE_15,AGENCY_MHD,Chomutov,MHD Chomutov,3
MHD_ROUTE_16,AGENCY_MHD,Chrudim,MHD Chrudim,3
MHD_ROUTE_17,AGENCY_MHD,DC,MHD DC,3
MHD_ROUTE_18,AGENCY_MHD,DO,MHD DO,3
MHD_ROUTE_19,AGENCY_MHD,Duchcov,MHD Duchcov,3
MHD_ROUTE_20,AGENCY_MHD,DvurKral,MHD DvurKral,3
MHD_ROUTE_21,AGENCY_MHD,FM,MHD FM,3
MHD_ROUTE_22,AGENCY_MHD,HB,MHD HB,3
MHD_ROUTE_23,AGENCY_MHD,Havirov,MHD Havirov,3
MHD_ROUTE_24,AGENCY_MHD,Hodonin,MHD Hodonin,3
MHD_ROUTE_25,AGENCY_MHD,Horice,MHD Horice,3
MHD_ROUTE_26,AGENCY_MHD,HrKr,MHD HrKr,3
MHD_ROUTE_27,AGENCY_MHD,Hranice,MHD Hranice,3
MHD_ROUTE_28,AGENCY_MHD,IDSJMK,MHD IDSJMK,3
MHD_ROUTE_29,AGENCY_MHD,Jablonec,MHD Jablonec,3
MHD_ROUTE_30,AGENCY_MHD,Jachymov,MHD Jachymov,3
MHD_ROUTE_31,AGENCY_MHD,Jicin,MHD Jicin,3
MHD_ROUTE_32,AGENCY_MHD,Jihlava,MHD Jihlava,3
MHD_ROUTE_33,AGENCY_MHD,JinHrad,MHD JinHrad,3
MHD_ROUTE_34,AGENCY_MHD,KH,MHD KH,3
MHD_ROUTE_35,AGENCY_MHD,KT,MHD KT,3
MHD_ROUTE_36,AGENCY_MHD,KV,MHD KV,3
MHD_ROUTE_37,AGENCY_MHD,Kadan,MHD Kadan,3
MHD_ROUTE_38,AGENCY_MHD,Karvina,MHD Karvina,3
MHD_ROUTE_39,AGENCY_MHD,Kladno,MHD Kladno,3
MHD_ROUTE_40,AGENCY_MHD,KlasterecNadOhri,MHD KlasterecNadOhri,3
MHD_ROUTE_41,AGENCY_MHD,Kolin,MHD Kolin,3
