trip_id,route_id,service_id
VL_TRIP_1,VL_ROUTE_1,WEEKDAY
VL_TRIP_2,VL_ROUTE_1,WEEKDAY
VL_TRIP_3,VL_ROUTE_1,WEEKDAY
VL_TRIP_4,VL_ROUTE_1,WEEKDAY
VL_TRIP_5,VL_ROUTE_1,WEEKDAY
VL_TRIP_6,VL_ROUTE_1,WEEKDAY
VL_TRIP_7,VL_ROUTE_1,WEEKDAY
VL_TRIP_8,VL_ROUTE_1,WEEKDAY
VL_TRIP_9,VL_ROUTE_1,WEEKDAY
VL_TRIP_10,VL_ROUTE_1,WEEKDAY
VL_TRIP_11,VL_ROUTE_1,WEEKDAY
VL_TRIP_12,VL_ROUTE_1,WEEKDAY
VL_TRIP_13,VL_ROUTE_1,WEEKDAY
VL_TRIP_14,VL_ROUTE_1,WEEKDAY
VL_TRIP_15,VL_ROUTE_1,WEEKDAY
VL_TRIP_16,VL_ROUTE_1,WEEKDAY
VL_TRIP_17,VL_ROUTE_1,WEEKDAY
VL_TRIP_18,VL_ROUTE_1,WEEKDAY
VL_TRIP_19,VL_ROUTE_1,WEEKDAY
VL_TRIP_20,VL_ROUTE_1,WEEKDAY
VL_TRIP_21,VL_ROUTE_1,WEEKDAY
VL_TRIP_22,VL_ROUTE_1,WEEKDAY
VL_TRIP_23,VL_ROUTE_1,WEEKDAY
VL_TRIP_24,VL_ROUTE_1,WEEKDAY
VL_TRIP_25,VL_ROUTE_1,WEEKDAY
VL_TRIP_26,VL_ROUTE_1,WEEKDAY
VL_TRIP_27,VL_ROUTE_1,WEEKDAY
VL_TRIP_28,VL_ROUTE_1,WEEKDAY
VL_TRIP_29,VL_ROUTE_1,WEEKDAY
VL_TRIP_30,VL_ROUTE_1,WEEKDAY
VL_TRIP_31,VL_ROUTE_1,WEEKDAY
VL_TRIP_32,VL_ROUTE_1,WEEKDAY
VL_TRIP_33,VL_ROUTE_1,WEEKDAY
VL_TRIP_34,VL_ROUTE_1,WEEKDAY
VL_TRIP_35,VL_ROUTE_1,WEEKDAY
VL_TRIP_36,VL_ROUTE_1,WEEKDAY
VL_TRIP_37,VL_ROUTE_1,WEEKDAY
VL_TRIP_38,VL_ROUTE_1,WEEKDAY
VL_TRIP_39,VL_ROUTE_1,WEEKDAY
VL_TRIP_40,VL_ROUTE_1,WEEKDAY
VL_TRIP_41,VL_ROUTE_1,WEEKDAY
VL_TRIP_42,VL_ROUTE_1,WEEKDAY
VL_TRIP_43,VL_ROUTE_1,WEEKDAY
VL_TRIP_44,VL_ROUTE_1,WEEKDAY
VL_TRIP_45,VL_ROUTE_1,WEEKDAY
VL_TRIP_46,VL_ROUTE_1,WEEKDAY
VL_TRIP_47,VL_ROUTE_1,WEEKDAY
VL_TRIP_48,VL_ROUTE_1,WEEKDAY
VL_TRIP_49,VL_ROUTE_1,WEEKDAY
VL_TRIP_50,VL_ROUTE_1,WEEKDAY
VL_TRIP_51,VL_ROUTE_1,WEEKDAY
VL_TRIP_52,VL_ROUTE_1,WEEKDAY
VL_TRIP_53,VL_ROUTE_1,WEEKDAY
VL_TRIP_54,VL_ROUTE_1,WEEKDAY
VL_TRIP_55,VL_ROUTE_1,WEEKDAY
VL_TRIP_56,VL_ROUTE_1,WEEKDAY
VL_TRIP_57,VL_ROUTE_1,WEEKDAY
VL_TRIP_58,VL_ROUTE_1,WEEKDAY
VL_TRIP_59,VL_ROUTE_1,WEEKDAY
VL_TRIP_60,VL_ROUTE_1,WEEKDAY
VL_TRIP_61,VL_ROUTE_1,WEEKDAY
VL_TRIP_62,VL_ROUTE_1,WEEKDAY
VL_TRIP_63,VL_ROUTE_1,WEEKDAY
VL_TRIP_64,VL_ROUTE_1,WEEKDAY
VL_TRIP_65,VL_ROUTE_1,WEEKDAY
VL_TRIP_66,VL_ROUTE_1,WEEKDAY
VL_TRIP_67,VL_ROUTE_1,WEEKDAY
VL_TRIP_68,VL_ROUTE_1,WEEKDAY
VL_TRIP_69,VL_ROUTE_1,WEEKDAY
VL_TRIP_70,VL_ROUTE_1,WEEKDAY
VL_TRIP_71,VL_ROUTE_1,WEEKDAY
VL_TRIP_72,VL_ROUTE_1,WEEKDAY
VL_TRIP_73,VL_ROUTE_1,WEEKDAY
VL_TRIP_74,VL_ROUTE_1,WEEKDAY
VL_TRIP_75,VL_ROUTE_1,WEEKDAY
VL_TRIP_76,VL_ROUTE_1,WEEKDAY
VL_TRIP_77,VL_ROUTE_1,WEEKDAY
VL_TRIP_78,VL_ROUTE_1,WEEKDAY
VL_TRIP_79,VL_ROUTE_1,WEEKDAY
VL_TRIP_80,VL_ROUTE_1,WEEKDAY
VL_TRIP_81,VL_ROUTE_1,WEEKDAY
VL_TRIP_82,VL_ROUTE_1,WEEKDAY
VL_TRIP_83,VL_ROUTE_1,WEEKDAY
VL_TRIP_84,VL_ROUTE_1,WEEKDAY
VL_TRIP_85,VL_ROUTE_1,WEEKDAY
VL_TRIP_86,VL_ROUTE_1,WEEKDAY
VL_TRIP_87,VL_ROUTE_1,WEEKDAY
VL_TRIP_88,VL_ROUTE_1,WEEKDAY
VL_TRIP_89,VL_ROUTE_2,WEEKDAY
VL_TRIP_90,VL_ROUTE_2,WEEKDAY
VL_TRIP_91,VL_ROUTE_2,WEEKDAY
VL_TRIP_92,VL_ROUTE_2,WEEKDAY
VL_TRIP_93,VL_ROUTE_2,WEEKDAY
VL_TRIP_94,VL_ROUTE_2,WEEKDAY
VL_TRIP_95,VL_ROUTE_2,WEEKDAY
VL_TRIP_96,VL_ROUTE_2,WEEKDAY
VL_TRIP_97,VL_ROUTE_2,WEEKDAY
VL_TRIP_98,VL_ROUTE_2,WEEKDAY
VL_TRIP_99,VL_ROUTE_2,WEEKDAY
VL_TRIP_100,VL_ROUTE_2,WEEKDAY
VL_TRIP_101,VL_ROUTE_2,WEEKDAY
VL_TRIP_102,VL_ROUTE_2,WEEKDAY
VL_TRIP_103,VL_ROUTE_2,WEEKDAY
VL_TRIP_104,VL_ROUTE_2,WEEKDAY
VL_TRIP_105,VL_ROUTE_2,WEEKDAY
VL_TRIP_106,VL_ROUTE_2,WEEKDAY
VL_TRIP_107,VL_ROUTE_2,WEEKDAY
VL_TRIP_108,VL_ROUTE_2,WEEKDAY
VL_TRIP_109,VL_ROUTE_2,WEEKDAY
VL_TRIP_110,VL_ROUTE_2,WEEKDAY
VL_TRIP_111,VL_ROUTE_2,WEEKDAY
VL_TRIP_112,VL_ROUTE_2,WEEKDAY
VL_TRIP_113,VL_ROUTE_2,WEEKDAY
VL_TRIP_114,VL_ROUTE_2,WEEKDAY
VL_TRIP_115,VL_ROUTE_2,WEEKDAY
VL_TRIP_116,VL_ROUTE_2,WEEKDAY
VL_TRIP_117,VL_ROUTE_2,WEEKDAY
VL_TRIP_118,VL_ROUTE_2,WEEKDAY
VL_TRIP_119,VL_ROUTE_2,WEEKDAY
VL_TRIP_120,VL_ROUTE_2,WEEKDAY
VL_TRIP_121,VL_ROUTE_2,WEEKDAY
VL_TRIP_122,VL_ROUTE_2,WEEKDAY
VL_TRIP_123,VL_ROUTE_2,WEEKDAY
VL_TRIP_124,VL_ROUTE_2,WEEKDAY
VL_TRIP_125,VL_ROUTE_2,WEEKDAY
VL_TRIP_126,VL_ROUTE_2,WEEKDAY
VL_TRIP_127,VL_ROUTE_2,WEEKDAY
VL_TRIP_128,VL_ROUTE_2,WEEKDAY
VL_TRIP_129,VL_ROUTE_2,WEEKDAY
VL_TRIP_130,VL_ROUTE_2,WEEKDAY
VL_TRIP_131,VL_ROUTE_2,WEEKDAY
VL_TRIP_132,VL_ROUTE_2,WEEKDAY
VL_TRIP_133,VL_ROUTE_2,WEEKDAY
VL_TRIP_134,VL_ROUTE_2,WEEKDAY
VL_TRIP_135,VL_ROUTE_2,WEEKDAY
VL_TRIP_136,VL_ROUTE_2,WEEKDAY
VL_TRIP_137,VL_ROUTE_2,WEEKDAY
VL_TRIP_138,VL_ROUTE_2,WEEKDAY
VL_TRIP_139,VL_ROUTE_3,WEEKDAY
VL_TRIP_140,VL_ROUTE_3,WEEKDAY
VL_TRIP_141,VL_ROUTE_3,WEEKDAY
VL_TRIP_142,VL_ROUTE_3,WEEKDAY
VL_TRIP_143,VL_ROUTE_3,WEEKDAY
VL_TRIP_144,VL_ROUTE_3,WEEKDAY
VL_TRIP_145,VL_ROUTE_3,WEEKDAY
VL_TRIP_146,VL_ROUTE_3,WEEKDAY
VL_TRIP_147,VL_ROUTE_3,WEEKDAY
VL_TRIP_148,VL_ROUTE_3,WEEKDAY
VL_TRIP_149,VL_ROUTE_3,WEEKDAY
VL_TRIP_150,VL_ROUTE_3,WEEKDAY
VL_TRIP_151,VL_ROUTE_3,WEEKDAY
VL_TRIP_152,VL_ROUTE_3,WEEKDAY
VL_TRIP_153,VL_ROUTE_3,WEEKDAY
VL_TRIP_154,VL_ROUTE_3,WEEKDAY
VL_TRIP_155,VL_ROUTE_3,WEEKDAY
VL_TRIP_156,VL_ROUTE_3,WEEKDAY
VL_TRIP_157,VL_ROUTE_3,WEEKDAY
VL_TRIP_158,VL_ROUTE_3,WEEKDAY
VL_TRIP_159,VL_ROUTE_3,WEEKDAY
VL_TRIP_160,VL_ROUTE_3,WEEKDAY
VL_TRIP_161,VL_ROUTE_3,WEEKDAY
VL_TRIP_162,VL_ROUTE_3,WEEKDAY
VL_TRIP_163,VL_ROUTE_3,WEEKDAY
VL_TRIP_164,VL_ROUTE_3,WEEKDAY
VL_TRIP_165,VL_ROUTE_3,WEEKDAY
VL_TRIP_166,VL_ROUTE_3,WEEKDAY
VL_TRIP_167,VL_ROUTE_3,WEEKDAY
VL_TRIP_168,VL_ROUTE_3,WEEKDAY
VL_TRIP_169,VL_ROUTE_3,WEEKDAY
VL_TRIP_170,VL_ROUTE_3,WEEKDAY
VL_TRIP_171,VL_ROUTE_3,WEEKDAY
VL_TRIP_172,VL_ROUTE_3,WEEKDAY
VL_TRIP_173,VL_ROUTE_3,WEEKDAY
VL_TRIP_174,VL_ROUTE_3,WEEKDAY
VL_TRIP_175,VL_ROUTE_3,WEEKDAY
VL_TRIP_176,VL_ROUTE_3,WEEKDAY
VL_TRIP_177,VL_ROUTE_3,WEEKDAY
VL_TRIP_178,VL_ROUTE_3,WEEKDAY
VL_TRIP_179,VL_ROUTE_3,WEEKDAY
VL_TRIP_180,VL_ROUTE_3,WEEKDAY
VL_TRIP_181,VL_ROUTE_3,WEEKDAY
VL_TRIP_182,VL_ROUTE_3,WEEKDAY
VL_TRIP_183,VL_ROUTE_3,WEEKDAY
VL_TRIP_184,VL_ROUTE_3,WEEKDAY
VL_TRIP_185,VL_ROUTE_3,WEEKDAY
VL_TRIP_186,VL_ROUTE_4,WEEKDAY
VL_TRIP_187,VL_ROUTE_4,WEEKDAY
VL_TRIP_188,VL_ROUTE_4,WEEKDAY
VL_TRIP_189,VL_ROUTE_4,WEEKDAY
VL_TRIP_190,VL_ROUTE_4,WEEKDAY
VL_TRIP_191,VL_ROUTE_4,WEEKDAY
VL_TRIP_192,VL_ROUTE_4,WEEKDAY
VL_TRIP_193,VL_ROUTE_4,WEEKDAY
VL_TRIP_194,VL_ROUTE_4,WEEKDAY
VL_TRIP_195,VL_ROUTE_4,WEEKDAY
VL_TRIP_196,VL_ROUTE_4,WEEKDAY
VL_TRIP_197,VL_ROUTE_4,WEEKDAY
VL_TRIP_198,VL_ROUTE_4,WEEKDAY
VL_TRIP_199,VL_ROUTE_4,WEEKDAY
VL_TRIP_200,VL_ROUTE_4,WEEKDAY
VL_TRIP_201,VL_ROUTE_4,WEEKDAY
VL_TRIP_202,VL_ROUTE_4,WEEKDAY
VL_TRIP_203,VL_ROUTE_4,WEEKDAY
VL_TRIP_204,VL_ROUTE_4,WEEKDAY
VL_TRIP_205,VL_ROUTE_4,WEEKDAY
VL_TRIP_206,VL_ROUTE_4,WEEKDAY
VL_TRIP_207,VL_ROUTE_4,WEEKDAY
VL_TRIP_208,VL_ROUTE_4,WEEKDAY
VL_TRIP_209,VL_ROUTE_4,WEEKDAY
VL_TRIP_210,VL_ROUTE_4,WEEKDAY
VL_TRIP_211,VL_ROUTE_4,WEEKDAY
VL_TRIP_212,VL_ROUTE_4,WEEKDAY
VL_TRIP_213,VL_ROUTE_4,WEEKDAY
VL_TRIP_214,VL_ROUTE_4,WEEKDAY
VL_TRIP_215,VL_ROUTE_4,WEEKDAY
VL_TRIP_216,VL_ROUTE_4,WEEKDAY
VL_TRIP_217,VL_ROUTE_4,WEEKDAY
VL_TRIP_218,VL_ROUTE_4,WEEKDAY
VL_TRIP_219,VL_ROUTE_4,WEEKDAY
VL_TRIP_220,VL_ROUTE_4,WEEKDAY
VL_TRIP_221,VL_ROUTE_4,WEEKDAY
VL_TRIP_222,VL_ROUTE_4,WEEKDAY
VL_TRIP_223,VL_ROUTE_4,WEEKDAY
VL_TRIP_224,VL_ROUTE_4,WEEKDAY
VL_TRIP_225,VL_ROUTE_4,WEEKDAY
VL_TRIP_226,VL_ROUTE_4,WEEKDAY
VL_TRIP_227,VL_ROUTE_4,WEEKDAY
VL_TRIP_228,VL_ROUTE_4,WEEKDAY
VL_TRIP_229,VL_ROUTE_4,WEEKDAY
VL_TRIP_230,VL_ROUTE_4,WEEKDAY
VL_TRIP_231,VL_ROUTE_4,WEEKDAY
VL_TRIP_232,VL_ROUTE_4,WEEKDAY
VL_TRIP_233,VL_ROUTE_4,WEEKDAY
VL_TRIP_234,VL_ROUTE_4,WEEKDAY
VL_TRIP_235,VL_ROUTE_4,WEEKDAY
VL_TRIP_236,VL_ROUTE_4,WEEKDAY
VL_TRIP_237,VL_ROUTE_4,WEEKDAY
VL_TRIP_238,VL_ROUTE_4,WEEKDAY
VL_TRIP_239,VL_ROUTE_4,WEEKDAY
VL_TRIP_240,VL_ROUTE_4,WEEKDAY
VL_TRIP_241,VL_ROUTE_4,WEEKDAY
VL_TRIP_242,VL_ROUTE_4,WEEKDAY
VL_TRIP_243,VL_ROUTE_4,WEEKDAY
VL_TRIP_244,VL_ROUTE_4,WEEKDAY
VL_TRIP_245,VL_ROUTE_4,WEEKDAY
VL_TRIP_246,VL_ROUTE_4,WEEKDAY
VL_TRIP_247,VL_ROUTE_4,WEEKDAY
VL_TRIP_248,VL_ROUTE_4,WEEKDAY
VL_TRIP_249,VL_ROUTE_4,WEEKDAY
VL_TRIP_250,VL_ROUTE_4,WEEKDAY
