route_id,agency_id,route_short_name,route_long_name,route_type
RT_1,AG_1,Vlak26C,VL Vlak26C,2
RT_2,AG_1,Vlak26E,VL Vlak26E,2
RT_3,AG_1,VlakIDOL26,VL VlakIDOL26,2
RT_4,AG_1,VlakODIS26,VL VlakODIS26,2
RT_5,AG_1,VlakPID26,VL VlakPID26,2
RT_6,AG_2,Bus26C,BUS Bus26C,3
RT_7,AG_2,Bus26S,BUS Bus26S,3
RT_8,AG_3,Adamov,MHD Adamov,3
RT_9,AG_3,As,MHD As,3
RT_10,AG_3,Benesov,MHD Benesov,3
RT_11,AG_3,Bilina,MHD Bilina,3
RT_12,AG_3,Blansko,MHD Blansko,3
RT_13,AG_3,Brandys,MHD Brandys,3
RT_14,AG_3,Breclav,MHD Breclav,3
RT_15,AG_3,Bruntal,MHD Bruntal,3
RT_16,AG_3,BystriceNadPernstejnem,MHD BystriceNadPernstejnem,3
RT_17,AG_3,CesBud,MHD CesBud,3
RT_18,AG_3,CesTes,MHD CesTes,3
RT_19,AG_3,CeskaLipa,MHD CeskaLipa,3
RT_20,AG_3,CeskyKrumlov,MHD CeskyKrumlov,3
RT_21,AG_3,Cheb,MHD Cheb,3
RT_22,AG_3,Chomutov,MHD Chomutov,3
RT_23,AG_3,Chrudim,MHD Chrudim,3
RT_24,AG_3,DC,MHD DC,3
RT_25,AG_3,DO,MHD DO,3
RT_26,AG_3,Duchcov,MHD Duchcov,3
RT_27,AG_3,DvurKral,MHD DvurKral,3
RT_28,AG_3,FM,MHD FM,3
RT_29,AG_3,HB,MHD HB,3
RT_30,AG_3,Havirov,MHD Havirov,3
RT_31,AG_3,Hodonin,MHD Hodonin,3
RT_32,AG_3,Horice,MHD Horice,3
RT_33,AG_3,HrKr,MHD HrKr,3
RT_34,AG_3,Hranice,MHD Hranice,3
RT_35,AG_3,IDSJMK,MHD IDSJMK,3
RT_36,AG_3,Jablonec,MHD Jablonec,3
RT_37,AG_3,Jachymov,MHD Jachymov,3
RT_38,AG_3,Jicin,MHD Jicin,3
RT_39,AG_3,Jihlava,MHD Jihlava,3
RT_40,AG_3,JinHrad,MHD JinHrad,3
RT_41,AG_3,KH,MHD KH,3
RT_42,AG_3,KT,MHD KT,3
RT_43,AG_3,KV,MHD KV,3
RT_44,AG_3,Kadan,MHD Kadan,3
RT_45,AG_3,Karvina,MHD Karvina,3
RT_46,AG_3,Kladno,MHD Kladno,3
RT_47,AG_3,KlasterecNadOhri,MHD KlasterecNadOhri,3
RT_48,AG_3,Kolin,MHD Kolin,3
RT_49,AG_3,KostelecNadOrlici,MHD KostelecNadOrlici,3
RT_50,AG_3,Kralupy,MHD Kralupy,3
RT_51,AG_3,Krnov,MHD Krnov,3
RT_52,AG_3,Kromeriz,MHD Kromeriz,3
RT_53,AG_3,Kyjov,MHD Kyjov,3
RT_54,AG_3,Liberec,MHD Liberec,3
RT_55,AG_3,Litomerice,MHD Litomerice,3
RT_56,AG_3,Litomysl,MHD Litomysl,3
RT_57,AG_3,Louny,MHD Louny,3
RT_58,AG_3,Lovosice,MHD Lovosice,3
RT_59,AG_3,MB,MHD MB,3
RT_60,AG_3,MarianskeLazne,MHD MarianskeLazne,3
RT_61,AG_3,Milevsko,MHD Milevsko,3
RT_62,AG_3,Mnisek,MHD Mnisek,3
RT_63,AG_3,Most,MHD Most,3
