stop_id,stop_name,stop_lat,stop_lon
ST_1,"Vlak26C, *UA",,
ST_2,"Vlak26C, *PL",,
ST_3,"Vlak26C, *CZ-KA",,
ST_4,"Vlak26C, *CZ-JE",,
ST_5,"Vlak26C, *CZ-BV",,
ST_6,"Vlak26C, *CZ-ZN",,
ST_7,"Vlak26C, *CZ-HO",,
ST_8,"Vlak26C, *CZ-FM",,
ST_9,"Vlak26C, *CZ-VS",,
ST_10,"Vlak26C, *CZ-ZL",,
ST_11,"Vlak26C, *CZ-BR",,
ST_12,"Vlak26C, *CZ-UH",,
ST_13,"Vlak26C, *CZ-OL",,
ST_14,"Vlak26C, *CZ-BK",,
ST_15,"Vlak26C, *CZ-BO",,
ST_16,"Vlak26C, *CZ-SU",,
ST_17,"Vlak26C, *CZ-PV",,
ST_18,"Vlak26C, *CZ-NJ",,
ST_19,"Vlak26C, *CZ-OP",,
ST_20,"Vlak26C, *CZ-VY",,
ST_21,"Vlak26C, *CZ-PR",,
ST_22,"Vlak26C, *CZ-TR",,
ST_23,"Vlak26C, *CZ-JI",,
ST_24,"Vlak26C, *CZ-BM",,
ST_25,"Vlak26C, *CZ-SY",,
ST_26,"Vlak26C, *CZ-OV",,
ST_27,"Vlak26C, *CZ-KM",,
ST_28,"Vlak26C, *CZ-ZR",,
ST_29,"Vlak26C, *CZ-UO",,
ST_30,"Vlak26C, *CZ-HB",,
ST_31,"Vlak26C, *CZ-TU",,
ST_32,"Vlak26C, *CZ-CV",,
ST_33,"Vlak26C, *CZ-DC",,
ST_34,"Vlak26C, *CZ-LI",,
ST_35,"Vlak26C, *CZ-JN",,
ST_36,"Vlak26C, *CZ-LT",,
ST_37,"Vlak26C, *CZ-AB",,
ST_38,"Vlak26C, *CZ-NB",,
ST_39,"Vlak26C, *CZ-ME",,
ST_40,"Vlak26C, *CZ-RK",,
ST_41,"Vlak26C, *CZ-PH",,
ST_42,"Vlak26C, *CZ-HK",,
ST_43,"Vlak26C, *CZ-MB",,
ST_44,"Vlak26C, *CZ-KO",,
ST_45,"Vlak26C, *CZ-UL",,
ST_46,"Vlak26C, *CZ-BE",,
ST_47,"Vlak26C, *CZ-PZ",,
ST_48,"Vlak26C, *CZ-LN",,
ST_49,"Vlak26C, *CZ-TP",,
ST_50,"Vlak26C, *CZ-RA",,
ST_51,"Vlak26C, *CZ-MO",,
ST_52,"Vlak26C, *CZ-KH",,
ST_53,"Vlak26C, *CZ-PA",,
ST_54,"Vlak26C, *CZ-KD",,
ST_55,"Vlak26C, *CZ-NA",,
ST_56,"Vlak26C, *CZ-SM",,
ST_57,"Vlak26C, *CZ-CR",,
ST_58,"Vlak26C, *CZ-BN",,
ST_59,"Vlak26C, *CZ-PB",,
ST_60,"Vlak26C, *CZ-TA",,
ST_61,"Vlak26C, *CZ-JC",,
ST_62,"Vlak26C, *CZ-PE",,
ST_63,"Vlak26C, *CZ-CL",,
ST_64,"Vlak26C, *CZ-CH",,
ST_65,"Vlak26C, *CZ-KV",,
ST_66,"Vlak26C, *CZ-CK",,
ST_67,"Vlak26C, *CZ-SO",,
ST_68,"Vlak26C, *CZ-JH",,
ST_69,"Vlak26C, *CZ-DO",,
ST_70,"Vlak26C, *CZ-PI",,
ST_71,"Vlak26C, *CZ-RO",,
ST_72,"Vlak26C, *CZ-ST",,
ST_73,"Vlak26C, *CZ-PM",,
ST_74,"Vlak26C, *CZ-CB",,
ST_75,"Vlak26C, *CZ-KT",,
ST_76,"Vlak26C, *CZ-PT",,
ST_77,"Vlak26C, *CZ-PJ",,
ST_78,"Vlak26C, *CZ-PS",,
ST_79,"Vlak26C, *CZ-TC",,
ST_80,"Vlak26C, *H",,
ST_81,"Vlak26C, *SK-SE",,
ST_82,"Vlak26C, *SK-RK",,
ST_83,"Vlak26C, *SK-LM",,
ST_84,"Vlak26C, *SK-PP",,
ST_85,"Vlak26C, *SK-BA",,
ST_86,"Vlak26C, *SK-GA",,
ST_87,"Vlak26C, *SK-SA",,
ST_88,"Vlak26C, *SK-SN",,
ST_89,"Vlak26C, *SK-NZ",,
ST_90,"Vlak26C, *SK-GL",,
ST_91,"Vlak26C, *SK-KS",,
ST_92,"Vlak26C, *SK-KE",,
ST_93,"Vlak26C, *SK-TT",,
ST_94,"Vlak26C, *SK-PN",,
ST_95,"Vlak26C, *SK-NM",,
ST_96,"Vlak26C, *SK-TN",,
ST_97,"Vlak26C, *SK-MY",,
ST_98,"Vlak26C, *SK-PO",,
ST_99,"Vlak26C, *SK-MI",,
ST_100,"Vlak26C, *SK-HE",,
ST_101,"Vlak26C, *SK-TV",,
ST_102,"Vlak26C, *SK-DK",,
ST_103,"Vlak26C, *SK-PU",,
ST_104,"Vlak26C, *SK-PB",,
ST_105,"Vlak26C, *SK-MT",,
ST_106,"Vlak26C, *SK-ZA",,
ST_107,"Vlak26C, *SK-CA",,
ST_108,"Vlak26C, *D",,
ST_109,"Vlak26C, *A",,
ST_110,"Vlak26C, *CH",,
ST_111,"Vlak26C, *DK",,
ST_112,"Vlak26C, *B",,
ST_113,"Vlak26C, *CZ",,
ST_114,"Vlak26E, *NL",,
ST_115,"Vlak26E, *E",,
ST_116,"Vlak26E, *CH",,
ST_117,"Vlak26E, *D",,
ST_118,"Vlak26E, *S",,
ST_119,"Vlak26E, *N",,
ST_120,"Vlak26E, *DK",,
ST_121,"Vlak26E, *B",,
ST_122,"Vlak26E, *EST",,
ST_123,"Vlak26E, *H",,
ST_124,"Vlak26E, *F",,
ST_125,"Vlak26E, *I",,
ST_126,"Vlak26E, *GB",,
ST_127,"Vlak26E, *A",,
ST_128,"Vlak26E, *BG",,
ST_129,"Vlak26E, *RO",,
ST_130,"Vlak26E, *P",,
ST_131,"Vlak26E, *CZ-BK",,
ST_132,"Vlak26E, *PL",,
ST_133,"Vlak26E, *IRL",,
ST_134,"Vlak26E, *SRB",,
ST_135,"Vlak26E, *CZ-NA",,
ST_136,"Vlak26E, *GR",,
ST_137,"Vlak26E, *MNE",,
ST_138,"Vlak26E, *FIN",,
ST_139,"Vlak26E, *LV",,
ST_140,"Vlak26E, *SLO",,
ST_141,"Vlak26E, *LT",,
ST_142,"Vlak26E, *CZ-KA",,
ST_143,"Vlak26E, *UA",,
ST_144,"Vlak26E, *SK-NR",,
ST_145,"Vlak26E, *CZ-BR",,
ST_146,"Vlak26E, *HR",,
ST_147,"Vlak26E, *CZ-UO",,
ST_148,"Vlak26E, *CZ-JN",,
ST_149,"Vlak26E, *CZ-CH",,
ST_150,"Vlak26E, *L",,
ST_151,"Vlak26E, *CZ-BO",,
ST_152,"Vlak26E, *CZ-OL",,
ST_153,"Vlak26E, *CZ-DO",,
ST_154,"Vlak26E, *SK-BR",,
ST_155,"Vlak26E, *CZ-KH",,
ST_156,"Vlak26E, *SK-PK",,
ST_157,"Vlak26E, *SK-KN",,
ST_158,"Vlak26E, *CZ-MB",,
ST_159,"Vlak26E, *CZ-TA",,
ST_160,"Vlak26E, *SK-NZ",,
ST_161,"Vlak26E, *SK-BN",,
ST_162,"Vlak26E, *SK-MI",,
ST_163,"Vlak26E, *SK-BS",,
ST_164,"Vlak26E, *SK-BB",,
ST_165,"Vlak26E, *SK-KE",,
ST_166,"Vlak26E, *SK-BJ",,
ST_167,"Vlak26E, *CZ-SU",,
ST_168,"Vlak26E, *SK-ZH",,
ST_169,"Vlak26E, *CZ-JC",,
ST_170,"Vlak26E, *CZ-FM",,
ST_171,"Vlak26E, *CZ-JI",,
ST_172,"Vlak26E, *CZ-ST",,
ST_173,"Vlak26E, *CZ-KV",,
ST_174,"Vlak26E, *CZ-MO",,
ST_175,"Vlak26E, *CZ-KO",,
