trip_id,route_id,service_id
TR_1,RT_1,SV_1
TR_2,RT_1,SV_1
TR_3,RT_1,SV_1
TR_4,RT_1,SV_1
TR_5,RT_1,SV_1
TR_6,RT_1,SV_1
TR_7,RT_1,SV_1
TR_8,RT_1,SV_1
TR_9,RT_1,SV_1
TR_10,RT_1,SV_1
TR_11,RT_1,SV_1
TR_12,RT_1,SV_1
TR_13,RT_1,SV_1
TR_14,RT_1,SV_1
TR_15,RT_1,SV_1
TR_16,RT_1,SV_1
TR_17,RT_1,SV_1
TR_18,RT_1,SV_1
TR_19,RT_1,SV_1
TR_20,RT_1,SV_1
TR_21,RT_1,SV_1
TR_22,RT_1,SV_1
TR_23,RT_1,SV_1
TR_24,RT_1,SV_1
TR_25,RT_1,SV_1
TR_26,RT_1,SV_1
TR_27,RT_1,SV_1
TR_28,RT_1,SV_1
TR_29,RT_1,SV_1
TR_30,RT_1,SV_1
TR_31,RT_1,SV_1
TR_32,RT_1,SV_1
TR_33,RT_1,SV_1
TR_34,RT_1,SV_1
TR_35,RT_1,SV_1
TR_36,RT_1,SV_1
TR_37,RT_1,SV_1
TR_38,RT_1,SV_1
TR_39,RT_1,SV_1
TR_40,RT_1,SV_1
TR_41,RT_1,SV_1
TR_42,RT_1,SV_1
TR_43,RT_1,SV_1
TR_44,RT_1,SV_1
TR_45,RT_1,SV_1
TR_46,RT_1,SV_1
TR_47,RT_1,SV_1
TR_48,RT_1,SV_1
TR_49,RT_1,SV_1
TR_50,RT_1,SV_1
TR_51,RT_1,SV_1
TR_52,RT_1,SV_1
TR_53,RT_1,SV_1
TR_54,RT_1,SV_1
TR_55,RT_1,SV_1
TR_56,RT_1,SV_1
TR_57,RT_1,SV_1
TR_58,RT_1,SV_1
TR_59,RT_1,SV_1
TR_60,RT_1,SV_1
TR_61,RT_1,SV_1
TR_62,RT_1,SV_1
TR_63,RT_1,SV_1
TR_64,RT_1,SV_1
TR_65,RT_1,SV_1
TR_66,RT_1,SV_1
TR_67,RT_1,SV_1
TR_68,RT_1,SV_1
TR_69,RT_1,SV_1
TR_70,RT_1,SV_1
TR_71,RT_1,SV_1
TR_72,RT_1,SV_1
TR_73,RT_1,SV_1
TR_74,RT_1,SV_1
TR_75,RT_1,SV_1
TR_76,RT_1,SV_1
TR_77,RT_1,SV_1
TR_78,RT_1,SV_1
TR_79,RT_1,SV_1
TR_80,RT_1,SV_1
TR_81,RT_1,SV_1
TR_82,RT_1,SV_1
TR_83,RT_1,SV_1
TR_84,RT_1,SV_1
TR_85,RT_1,SV_1
TR_86,RT_1,SV_1
TR_87,RT_1,SV_1
TR_88,RT_1,SV_1
TR_89,RT_2,SV_1
TR_90,RT_2,SV_1
TR_91,RT_2,SV_1
TR_92,RT_2,SV_1
TR_93,RT_2,SV_1
TR_94,RT_2,SV_1
TR_95,RT_2,SV_1
TR_96,RT_2,SV_1
TR_97,RT_2,SV_1
TR_98,RT_2,SV_1
TR_99,RT_2,SV_1
TR_100,RT_2,SV_1
TR_101,RT_2,SV_1
TR_102,RT_2,SV_1
TR_103,RT_2,SV_1
TR_104,RT_2,SV_1
TR_105,RT_2,SV_1
TR_106,RT_2,SV_1
TR_107,RT_2,SV_1
TR_108,RT_2,SV_1
TR_109,RT_2,SV_1
TR_110,RT_2,SV_1
TR_111,RT_2,SV_1
TR_112,RT_2,SV_1
TR_113,RT_2,SV_1
TR_114,RT_2,SV_1
TR_115,RT_2,SV_1
TR_116,RT_2,SV_1
TR_117,RT_2,SV_1
TR_118,RT_2,SV_1
TR_119,RT_2,SV_1
TR_120,RT_2,SV_1
TR_121,RT_2,SV_1
TR_122,RT_2,SV_1
TR_123,RT_2,SV_1
TR_124,RT_2,SV_1
TR_125,RT_2,SV_1
TR_126,RT_2,SV_1
TR_127,RT_2,SV_1
TR_128,RT_2,SV_1
TR_129,RT_2,SV_1
TR_130,RT_2,SV_1
TR_131,RT_2,SV_1
TR_132,RT_2,SV_1
TR_133,RT_2,SV_1
TR_134,RT_2,SV_1
TR_135,RT_2,SV_1
TR_136,RT_2,SV_1
TR_137,RT_2,SV_1
TR_138,RT_2,SV_1
TR_139,RT_3,SV_1
TR_140,RT_3,SV_1
TR_141,RT_3,SV_1
TR_142,RT_3,SV_1
TR_143,RT_3,SV_1
TR_144,RT_3,SV_1
TR_145,RT_3,SV_1
TR_146,RT_3,SV_1
TR_147,RT_3,SV_1
TR_148,RT_3,SV_1
TR_149,RT_3,SV_1
TR_150,RT_3,SV_1
TR_151,RT_3,SV_1
TR_152,RT_3,SV_1
TR_153,RT_3,SV_1
